"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation",138,-0.558909168031659,-2.29623093794682,1e-10,3.05431084306479e-08,2.42070649706384e-08,4072,"tags=46%, list=21%, signal=37%","7128/659/1839/6934/406937/2069/5728/65009/30008/5290/3690/5592/8013/1264/7015/2006/3248/4208/10891/25817/7432/4854/3488/6648/3486/2254/8862/4217/4313/2852/5295/10203/3586/3725/1012/57447/80310/4846/4856/9314/347/1906/5159/59272/407006/348093/3592/5136/3569/3479/9370/7099/2247/6376/9510/4921/4881/1901/93649/6869/5468/650/1956/4969"
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation",134,-0.558889408404044,-2.28902550343024,1e-10,3.05431084306479e-08,2.42070649706384e-08,4072,"tags=47%, list=21%, signal=38%","7128/659/1839/6934/406937/2069/5728/65009/30008/5290/3690/5592/8013/1264/7015/2006/3248/4208/10891/25817/7432/4854/3488/6648/3486/2254/8862/4217/4313/2852/5295/10203/3586/3725/1012/57447/80310/4846/9314/347/1906/5159/59272/407006/348093/3592/5136/3569/3479/9370/7099/2247/6376/9510/4921/4881/1901/93649/6869/5468/650/1956/4969"
"GO:0033002","BP","GO:0033002","muscle cell proliferation",198,-0.526600833552855,-2.26299230752154,1e-10,3.05431084306479e-08,2.42070649706384e-08,4072,"tags=46%, list=21%, signal=37%","7128/659/1839/2242/6934/5573/406937/2069/23493/5728/57190/693175/8837/65009/30008/5290/2260/4851/2627/3690/5592/8013/1264/7015/3776/2006/3248/4208/10891/25817/7432/6909/4854/2735/10413/3488/6648/3486/6497/2254/8862/7472/4217/10370/4313/2852/5295/10203/3586/3725/1012/57447/80310/4846/2353/4856/9314/205428/347/2296/6910/1906/5159/858/59272/2047/407006/3082/23414/348093/3592/5136/3569/3479/9370/7099/5950/2247/6376/9510/4921/4881/1901/93649/6869/5468/650/1956/284/7049/4969"
"GO:0001935","BP","GO:0001935","endothelial cell proliferation",152,-0.54204721113011,-2.25894715964098,1e-10,3.05431084306479e-08,2.42070649706384e-08,3417,"tags=42%, list=17%, signal=35%","3164/2260/8828/2255/3988/3690/100506013/7423/2324/3091/51162/949/7424/6678/1950/4208/54567/1960/7432/5629/1969/8862/9270/5578/3586/1012/5587/28984/187/5797/94/26051/10000/3791/3481/9037/654/7010/858/7075/6387/3339/196740/2321/8829/3592/79812/57608/857/2247/9982/185/947/64102/9839/7060/84432/8854/5468/2252/3952/168667/84913/2277"
"GO:0005930","CC","GO:0005930","axoneme",164,0.553740450368985,2.20036198137436,1e-10,3.05431084306479e-08,2.42070649706384e-08,3363,"tags=38%, list=17%, signal=32%","1767/27019/388701/6101/54777/93233/25876/1063/123872/25790/85452/115948/26074/389799/134121/8382/89876/138162/89765/64518/26150/158067/51314/56171/55036/220136/51473/83450/80217/27285/54768/339778/158297/89891/150483/7802/81492/388389/10382/100128569/129881/85478/146754/127003/1769/254050/4117/257236/146845/154313/83853/55259/440585/84058/26206/283726/80127/83538/80258/57096/9742/8632/55054"
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation",182,0.547399936937846,2.19442909096138,1e-10,3.05431084306479e-08,2.42070649706384e-08,3092,"tags=32%, list=16%, signal=27%","126353/29128/4751/83540/1063/9928/24137/146909/11065/285643/57082/5347/699/57405/4605/22974/90990/9212/9700/9493/64151/10615/332/9787/51203/1062/221150/56155/11130/10403/3832/701/11004/55143/9319/983/23397/147841/9055/113130/84722/2491/4085/81930/9735/891/9184/64105/29127/991/26993/7272/83903/3835/7517/7283/10051/79884"
"GO:0097014","CC","GO:0097014","ciliary plasm",165,0.550429559691611,2.18748357475978,1e-10,3.05431084306479e-08,2.42070649706384e-08,3363,"tags=38%, list=17%, signal=32%","1767/27019/388701/6101/54777/93233/25876/1063/123872/25790/85452/115948/26074/389799/134121/8382/89876/138162/89765/64518/26150/158067/51314/56171/55036/220136/51473/83450/80217/27285/54768/339778/158297/89891/150483/7802/81492/388389/10382/100128569/129881/85478/146754/127003/1769/254050/4117/257236/146845/154313/83853/55259/440585/84058/26206/283726/80127/83538/80258/57096/9742/8632/55054"
"GO:1901342","BP","GO:1901342","regulation of vasculature development",275,-0.469561794183298,-2.10014793233741,1e-10,3.05431084306479e-08,2.42070649706384e-08,3603,"tags=42%, list=18%, signal=35%","1536/7453/3202/10266/1545/221074/694/4303/54583/2627/6915/3690/3716/100506013/7423/26523/10800/64094/5371/3091/3373/204851/153090/57556/388/7082/51752/7015/7424/7058/6678/719/23166/23554/641700/25817/1215/56999/2828/140862/1969/3688/30832/161742/5578/57381/90139/2022/5176/3586/3579/5587/23129/285/28984/2113/1284/10411/7098/4846/187/5797/94/9314/26051/10000/10457/154796/3791/9037/2296/7010/1003/23328/7075/63923/6387/3339/10365/2321/407006/133/8434/8829/718/358/6422/3569/57608/5140/25960/2247/7122/9510/147372/947/51129/577/64102/7060/4881/84432/5468/84034/7048/126393/1634/10253/3952/168667/5740/10218/51378/2277/11005"
"GO:0000819","BP","GO:0000819","sister chromatid segregation",220,0.510128529140709,2.10005358103705,1e-10,3.05431084306479e-08,2.42070649706384e-08,3092,"tags=29%, list=16%, signal=24%","126353/29128/4751/83540/1063/7153/9928/51412/24137/146909/11065/285643/57082/5347/699/57405/4605/22974/90990/9212/9700/9493/64151/10615/332/9787/51203/1062/990/221150/56155/11130/10403/3832/701/11004/55143/9319/983/23397/147841/9055/113130/84722/116028/2491/4085/10460/81930/9735/891/9184/64105/29127/991/26993/7272/83903/3835/7517/7283/10051/79884"
"GO:0060828","BP","GO:0060828","regulation of canonical Wnt signaling pathway",244,-0.473509226049517,-2.0917794018974,1e-10,3.05431084306479e-08,2.42070649706384e-08,4259,"tags=40%, list=22%, signal=32%","4089/54475/64750/6662/1500/89780/3487/27130/6934/9113/139285/55612/406937/169200/79809/8658/51339/324/6206/2255/55897/84133/4851/2487/219771/151195/8313/2348/27122/85407/25928/79960/153090/2262/8796/22881/27123/5218/4163/7481/65268/7480/92162/1950/25937/26524/84327/120892/2735/10413/147111/2254/100113407/23189/27121/23072/7091/8324/414194/83999/8321/9096/57664/2308/83595/7088/1601/84870/9037/80114/1896/55366/63923/6591/8326/8434/388336/27303/6422/51704/5071/152573/1958/6663/25960/857/2247/9839/23500/3489/650/6424/1956/284654/64321/6425/2719/3484"
