"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019814","CC","GO:0019814","immunoglobulin complex",71,0.903480929872895,3.34061177981456,1e-10,3.61136363636364e-08,2.85167464114833e-08,1195,"tags=86%, list=6%, signal=81%","28893/28883/28881/28920/28930/28900/28896/28791/28940/3507/28919/28875/28797/28882/28809/28902/28921/28906/3538/28813/28815/28907/28908/28793/28942/28822/28454/28938/3502/3539/28773/28935/28876/28913/28885/28774/28943/28775/28299/28803/28912/28937/28778/973/28923/3514/28874/28817/28804/28814/28816/28785/28784/28434/28834/28950/3503/28941/3494/28772/3512"
"GO:0002377","BP","GO:0002377","immunoglobulin production",151,0.722048254636063,3.0018756840731,1e-10,3.61136363636364e-08,2.85167464114833e-08,1828,"tags=46%, list=9%, signal=42%","28893/28883/28881/28920/28930/28900/28896/28791/124626/28940/28919/28875/28797/28882/28809/28902/28921/28906/28813/28815/28907/28908/28793/28942/28822/28938/28773/28935/28876/28913/28885/28774/28943/28775/28299/28803/28912/28937/28778/28923/28874/28817/28804/28814/28816/9156/28785/28784/7292/933/115352/202309/942/28941/50943/2213/28772/695/51237/54440/28796/57379/29802/28664/3598/10721/5788/940/7037"
"GO:0003823","MF","GO:0003823","antigen binding",79,0.79170906657885,2.98839777025963,1e-10,3.61136363636364e-08,2.85167464114833e-08,1862,"tags=58%, list=9%, signal=53%","28893/28883/28930/28896/28791/3507/28919/28797/28809/3538/28813/28815/28907/28908/909/28793/28822/28454/28938/3502/3539/28913/28299/28912/28937/28778/3514/28817/910/28816/28434/28834/3503/3494/6504/913/3512/28796/28664/100507436/11136/3575/8140/3107/3136/912"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",155,0.678079344841047,2.8395251266296,1e-10,3.61136363636364e-08,2.85167464114833e-08,4387,"tags=71%, list=22%, signal=56%","6170/645683/116832/6171/6235/9553/51121/6227/6232/6189/11224/51258/6129/6147/9349/6231/6144/6155/6165/6143/6168/28998/122704/64979/6152/6234/6167/51023/6166/51649/51264/6223/64975/6201/6157/6233/7311/6154/6182/6183/63875/6150/6206/6169/55052/6210/6176/6142/51650/219927/6181/25873/116541/6209/64968/6230/57129/6158/51081/4701/6224/7818/78988/64928/54460/6160/6217/65993/3921/6146/6161/4736/6159/51065/23521/6128/200916/9045/6156/2197/29088/388524/6205/6229/6130/29074/29093/6133/55272/6164/6134/64963/11222/60488/64981/51263/6132/6208/6228/51373/65003/6207/64983/10573/51069/6136/128308/100216546/26589/84545"
"GO:0002250","BP","GO:0002250","adaptive immune response",464,0.598744545017163,2.82221271941481,1e-10,3.61136363636364e-08,2.85167464114833e-08,2081,"tags=34%, list=11%, signal=32%","28893/28883/28881/28920/28930/28900/28896/28791/28940/3507/28919/11006/28875/28797/28882/28809/28902/28921/28906/3538/28813/6046/28815/28907/28908/909/50615/28793/28942/28822/28454/28938/3502/2209/3539/28773/28935/28876/28913/28885/28774/28943/28775/3903/28299/28803/2214/28912/54210/2210/28937/154064/28778/973/28923/10288/3514/23495/28874/28817/910/930/28804/28683/28814/259307/28816/9156/3665/28785/28784/7292/80328/27074/64581/28724/2212/28639/941/89790/1493/80329/28638/6556/430/28434/608/4068/64092/28834/7462/28950/202309/942/3503/28941/57823/50943/54900/2529/3494/814/729230/50852/51176/2207/2213/713/915/151888/6504/3458/28772/3606/913/695/714/3512/28755/84868/54440/9103/28796/1380/57379/89857/6967/4063/28664/255231/114836/10148/3598/100507436/27240/1604/3575/115650/917/712/54209/5788/940/9214/3107/939/3136/919/7037/51571/912/51311/91543/3553/3702/64005/8320/3594/10673/1520"
"GO:0044391","CC","GO:0044391","ribosomal subunit",182,0.636811809354657,2.71996142646835,1e-10,3.61136363636364e-08,2.85167464114833e-08,4428,"tags=64%, list=23%, signal=50%","6170/116832/6171/6235/9553/51121/6227/84311/116540/6232/6189/11224/51258/6129/6147/9349/6231/6144/6155/6165/6143/6168/28998/122704/118487/64979/6152/6234/6167/51023/6166/51649/51264/6223/64975/6201/6157/6233/7311/6154/6182/6183/63875/6150/6206/6169/55052/6210/6176/6142/51650/219927/6181/25873/3396/116541/6209/64968/6230/57129/6158/51081/6224/7818/78988/64928/90480/28957/54460/6160/54998/6217/65993/3921/6146/6161/4736/6159/51065/23521/6128/9045/6156/64949/2197/29088/388524/6205/6229/6130/29074/29093/6133/55272/6164/6134/64963/11222/60488/64981/51263/6132/4869/55651/6208/6228/51373/65003/6207/64983/10573/51069/6136/128308/26589/84545/54534"
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response",254,0.601167483381248,2.65648042542044,1e-10,3.61136363636364e-08,2.85167464114833e-08,1923,"tags=33%, list=10%, signal=31%","28893/28883/28881/28920/28930/28900/28896/28791/124626/28940/28919/11006/28875/28797/28882/28809/28902/28921/28906/28813/28815/28907/28908/28793/28942/28822/28938/28773/28935/28876/28913/28885/28774/28943/28775/28299/28803/28912/54210/28937/28778/28923/28874/28817/28804/28814/28816/9156/28785/28784/7292/64581/933/115352/51284/202309/942/28941/50943/55765/729230/2213/6504/28772/3606/695/51237/54440/89886/28796/57379/354/29802/28664/3598/1604/10721/7805/5788/8140/940/7037/91543/3553/388325"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",113,0.661171742947332,2.63832025707241,1e-10,3.61136363636364e-08,2.85167464114833e-08,4728,"tags=71%, list=24%, signal=54%","6170/116832/6171/9553/51121/84311/116540/11224/51258/6129/6147/9349/6144/6155/6165/6143/6168/28998/122704/64979/6152/6167/6166/51264/64975/6157/7311/6154/6182/63875/6150/6169/55052/6176/6142/219927/6181/25873/3396/116541/57129/6158/78988/64928/90480/6160/6146/6161/4736/6159/23521/6128/9045/6156/29088/6130/29074/29093/6133/6164/6134/11222/64981/51263/6132/4869/55651/65003/64983/10573/51069/6136/128308/26589/84545/54534/6173/79590/5935/64976"
"GO:0030527","MF","GO:0030527","structural constituent of chromatin",50,0.744330661331258,2.59321570624839,1e-10,3.61136363636364e-08,2.85167464114833e-08,2967,"tags=68%, list=15%, signal=58%","440093/8348/8363/8970/8345/8969/8357/8362/1058/8365/3020/8356/8344/8338/3015/3012/92815/3006/85236/3017/3014/8353/55766/8294/8336/3159/8343/128312/8360/256329/8334/3005/8330/440689"
"GO:0005840","CC","GO:0005840","ribosome",228,0.58786114325572,2.56007291379535,1e-10,3.61136363636364e-08,2.85167464114833e-08,4428,"tags=55%, list=23%, signal=43%","6170/645683/116832/6171/6235/9553/51121/6227/84311/116540/6232/190/6189/11224/51258/6129/6147/9349/6231/6144/6155/6165/6143/6168/28998/122704/118487/64979/6152/6234/6167/51023/6166/51649/51264/6223/64975/6201/6157/6233/7311/6154/6182/6183/63875/6150/6206/6169/55052/6210/6176/6142/51650/219927/6181/25873/3396/116541/6209/64968/6230/57129/5687/6158/51081/4701/6224/7818/78988/64928/90480/28957/54460/6160/54998/6217/65993/3921/6146/6161/4736/6159/51065/23521/6128/200916/9045/6156/64949/2197/29088/388524/6205/811/6229/6130/29074/29093/27230/6133/55272/6164/6134/64963/11222/60488/64981/1915/51263/6132/4869/55651/6208/6228/51373/65003/6207/64983/10573/51069/6136/128308/100216546/26589/84545/54534"
