"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04814","hsa04814","Motor proteins",179,0.472290797769856,1.89405030326166,6.05296549277185e-07,6.71674066134715e-05,4.78161641239803e-05,2985,"tags=29%, list=15%, signal=25%","58/7138/112714/70/1767/27019/7137/58498/140469/10381/92558/113457/9928/24137/146909/285643/3800/113220/547/55083/10112/90990/9493/127602/347240/146439/3798/4646/1062/51168/56171/7139/84700/3832/79861/83657/11004/56992/347688/55605/7802/10382/4645/146754/1769/81930/221458/3835/4636/64837/8735/7283"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",194,-0.432605440674343,-1.83923157947612,4.47453721986134e-07,6.71674066134715e-05,4.78161641239803e-05,6270,"tags=59%, list=32%, signal=40%","7311/3455/6167/9349/6205/6139/6187/6128/6347/6138/25873/4790/6122/57506/1432/6194/2197/6235/6155/6231/6234/6168/6134/6227/7132/6210/2212/6175/6193/6124/3570/6208/6217/6207/6165/6772/4939/4792/6223/6164/6142/6156/6160/4736/6201/6189/6143/6147/6228/51187/64135/6129/3454/6202/3654/729/6170/1636/6125/6181/1839/6230/23521/6157/5595/23118/7189/6135/6146/1536/6133/6206/5290/6144/4940/6224/834/4599/3716/10747/4600/7113/6233/51311/6137/5602/5336/719/714/730/5578/5295/3725/712/713/716/715/7098/2353/114548/59272/8829/3592/718/3569/1675/6403/7099/185/2162/1440/1956/7450/5648"
"hsa04015","hsa04015","Rap1 signaling pathway",198,-0.421860153318467,-1.79619466884813,7.76501810560364e-07,6.71674066134715e-05,4.78161641239803e-05,3899,"tags=38%, list=20%, signal=31%","25780/1946/5332/5908/2149/5595/56288/801/113/5290/2260/2255/3690/2775/5906/7423/5899/1398/2324/64411/1436/196883/7424/84552/9732/7094/1950/9693/4233/111/1969/56034/2254/3688/2904/83660/23683/5578/1435/5295/23236/5587/285/54518/109/80310/10411/10000/5156/3791/22808/23566/7010/5159/2321/1813/5608/3082/9002/3479/1902/2247/2770/8823/3397/1268/5028/3815/2252/1956/114/284/51806/51378/2277"
"hsa05200","hsa05200","Pathways in cancer",483,-0.346795770361787,-1.62463755450092,3.02090243317488e-07,6.71674066134715e-05,4.78161641239803e-05,4289,"tags=35%, list=22%, signal=28%","8031/2100/2768/3454/4089/3574/4914/2246/3714/3600/89780/9475/624/4257/6934/25780/182/5332/1612/2149/5595/23493/7189/5728/26508/2782/801/2788/6777/6776/324/3559/3909/113/4853/5290/613/2260/2255/4616/4851/10161/54583/55970/3716/7423/5899/374654/1398/8313/2324/3595/5371/896/3091/6654/1436/5731/6608/196883/114112/2736/2938/7015/1439/5915/7424/7481/1030/83439/7480/5602/5336/1950/4233/23462/54567/115727/3912/4854/5337/111/2735/7704/817/3655/2254/5567/2950/3601/64399/7472/3688/4041/7855/4313/5578/8324/2791/3459/2122/862/5295/7482/23236/8321/1630/3725/5734/2113/894/1284/3915/109/1021/2353/2308/10000/5156/4609/1282/3481/284217/23566/4286/1050/2944/1906/5159/6387/8326/22798/3082/3592/3910/9002/3569/3908/3479/8322/10319/7039/5727/11211/7475/54331/1902/2247/2770/8823/185/2034/5732/2949/29119/5468/650/3815/7048/2252/6258/1956/1910/114/51806/4855/2277"
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes",52,-0.587724329675251,-2.04529501543998,4.88221402352283e-05,0.00195789347228499,0.00139381524951229,3516,"tags=48%, list=18%, signal=40%","113/5290/57104/5592/196883/111/5567/8660/5295/11343/109/10000/63924/364/5140/3991/2770/2167/4881/5346/5593/100509620/114/154/8471"
"hsa03320","hsa03320","PPAR signaling pathway",68,-0.529489752954632,-1.92533233607525,6.13522477949598e-05,0.00195789347228499,0.00139381524951229,1780,"tags=37%, list=9%, signal=34%","4199/51703/2180/10580/2182/2170/1581/123/23205/364/2171/5105/1582/33/9370/2167/51129/5346/5468/5360/729359/100509620/6258/4023/948"
"hsa04072","hsa04072","Phospholipase D signaling pathway",138,-0.43411767218923,-1.77255562465264,2.87810174733374e-05,0.00195789347228499,0.00139381524951229,3837,"tags=35%, list=20%, signal=28%","5332/56895/2149/5595/2917/113/5290/5781/10161/5899/6654/196883/1607/5321/5336/1950/2534/5337/111/56034/22800/8611/9265/5578/5295/2911/23236/3579/109/80310/10411/10000/5156/22808/23566/5159/53358/1608/8613/554/8395/1902/185/5737/3815/1956/114/552"
"hsa04510","hsa04510","Focal adhesion",196,-0.38723979242875,-1.64682939308311,4.36994278057001e-05,0.00195789347228499,0.00139381524951229,4120,"tags=41%, list=21%, signal=33%","2889/5829/9475/2316/3693/7414/5908/3678/5595/5728/10398/3909/5290/29780/91807/3690/5906/7423/1398/2324/896/2012/6654/340156/7424/1293/1297/7058/7094/5602/1950/4233/3912/2534/4660/8516/1292/3655/56034/3688/83660/5578/1291/3680/5295/3725/55742/894/1284/3915/80310/10000/5156/1282/3791/5063/284217/5159/858/53358/63923/2321/22798/859/3082/3910/3908/3479/10319/8395/3679/3672/857/7060/1956/7450/5649/131873/2277/7148"
"hsa04014","hsa04014","Ras signaling pathway",215,-0.37598026802293,-1.61799176570594,5.85994912474169e-05,0.00195789347228499,0.00139381524951229,3899,"tags=36%, list=20%, signal=29%","25780/1946/4908/5908/5595/2782/801/2788/3363/5290/2260/5781/2255/4303/55970/5906/7423/5899/2324/100271927/6654/1436/7424/5321/5602/5336/1950/4233/115727/8844/5337/1969/56034/2254/5567/22800/2904/22821/57186/5578/51365/2114/1435/2791/5295/5924/285/5322/2113/8437/80310/10000/5156/3791/3481/5063/22808/7010/5159/53358/4915/2321/3082/3479/7039/54331/5320/2247/8823/23179/3815/2252/1956/284/51806/51378/2277"
"hsa04020","hsa04020","Calcium signaling pathway",224,-0.375345832899454,-1.61708436030083,5.64293335408211e-05,0.00195789347228499,0.00139381524951229,3516,"tags=36%, list=18%, signal=30%","113/3363/2260/91807/2774/2255/3362/3269/80271/6915/7423/2324/10800/5731/340156/196883/7424/401152/5137/952/1816/444/5336/1950/4233/7125/491/3356/817/1131/8913/56034/6546/2254/5567/2904/116443/5578/6261/2911/23236/57105/3270/5153/109/80310/4846/146/5156/3791/6263/5159/1128/4915/2321/89869/3082/5136/7039/845/4842/148/147/2247/8823/185/5737/6869/2252/5350/1956/1910/114/154/51806/3973/552/10345/5021/2277"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",255,-0.356056116929651,-1.55884100201964,6.22451681940315e-05,0.00195789347228499,0.00139381524951229,3269,"tags=39%, list=17%, signal=33%","3362/3269/10161/6915/2837/80763/51083/100506013/2359/2743/10800/1132/2891/66004/5729/5731/7067/9294/1816/152/150/2893/7068/719/2561/2568/7432/257313/2550/3356/1131/5746/1395/8862/2892/3355/2904/4828/116443/9340/1815/339403/1137/799/10203/2911/57105/5734/79627/5443/6344/2908/3061/187/5540/146/100996758/1908/23566/5745/1906/1128/2358/1813/10316/133/151/2564/718/9002/554/9934/148/147/1902/6751/2894/2567/185/5732/5737/1901/3953/6869/1268/5028/3952/1910/2890/154/2690/2555/3973/5179/117/552/2565/5021/2587"
"hsa04920","hsa04920","Adipocytokine signaling pathway",65,-0.519920901924321,-1.88352789255675,7.07148167834224e-05,0.00203894388392201,0.0014515146602913,2466,"tags=31%, list=13%, signal=27%","5602/10891/8660/51703/2180/9021/5443/2182/10000/7133/23205/6517/5105/9370/32/3953/3952/6258/8471/948"
"hsa05133","hsa05133","Pertussis",71,-0.511766213868409,-1.88245234044474,9.56153397777716e-05,0.00254483904331608,0.00181165906947357,3761,"tags=42%, list=19%, signal=34%","3678/5595/7189/801/23643/10392/834/5602/353376/714/3688/3586/3725/712/713/716/715/1073/6374/710/2353/114548/929/3592/718/3569/7099/2770/6372/51806"
"hsa04979","hsa04979","Cholesterol metabolism",44,-0.581277765529573,-1.9458134892825,0.000178502752517838,0.00397731549711707,0.00283143238918586,1291,"tags=23%, list=7%, signal=21%","1581/19/1071/4035/51129/5360/4023/338/3990/948"
"hsa00982","hsa00982","Drug metabolism - cytochrome P450",43,-0.57159917626281,-1.91474076396572,0.000178637067008228,0.00397731549711707,0.00283143238918586,2766,"tags=40%, list=14%, signal=34%","2938/124/128/2950/27306/4128/2944/127/2326/130/2327/2949/125/2328/316/7364/126"
"hsa00830","hsa00830","Retinol metabolism",43,-0.568649384023279,-1.90485956105149,0.000199499439042436,0.00397731549711707,0.00283143238918586,2727,"tags=44%, list=14%, signal=38%","1562/54884/9249/124/128/5959/340665/339761/220/56603/10170/127/130/125/8854/216/316/7364/126"
"hsa04611","hsa04611","Platelet activation",116,-0.427959652402146,-1.70189478858336,0.000195017815918745,0.00397731549711707,0.00283143238918586,3837,"tags=33%, list=20%, signal=27%","5332/5908/2149/5595/113/5290/91807/1281/6915/3690/5906/5592/340156/196883/5321/7094/5336/2534/111/5567/3688/83660/2982/5295/23236/54518/2983/109/4846/10000/9002/64805/2770/5593/5028/114/2977/7450"
"hsa04151","hsa04151","PI3K-Akt signaling pathway",312,-0.329038173123234,-1.47437283094061,0.000206912366902044,0.00397731549711707,0.00283143238918586,3894,"tags=33%, list=20%, signal=27%","1946/3693/4908/2069/2149/3678/5595/5728/5520/2782/2788/3559/3909/5290/3164/4902/2260/2255/10161/3690/55970/3716/7423/2324/896/6654/1436/5521/7424/1293/1297/7058/5519/118788/1950/4233/3912/8516/1292/1969/3655/56034/2254/3688/2998/5578/1291/3680/1435/2791/5295/285/894/1284/3915/1021/80310/4846/10000/5156/4609/1282/3791/3481/284217/23566/7010/5159/1128/4915/63923/2321/9586/6446/22798/3082/5105/3910/3569/3908/3479/10319/7039/3679/54331/7099/3672/1902/2247/8823/7060/54541/1440/3815/2252/1956/7450/284/2690/5649/51378/131873/2277/7148"
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",77,-0.478881522270962,-1.78552462633145,0.000231391600228465,0.00421376282521309,0.00299975814146597,3760,"tags=34%, list=19%, signal=27%","5595/5728/3084/5290/3716/6654/5336/1950/4233/56034/5578/5295/558/80310/10000/5156/3791/5159/53358/9542/3082/3569/3479/7039/2247/1956"
"hsa04310","hsa04310","Wnt signaling pathway",162,-0.392924611584529,-1.63383375352757,0.000284508686495032,0.00469938543668594,0.00334547061814576,4129,"tags=35%, list=21%, signal=28%","4775/89780/9475/27130/5533/6934/5332/4773/324/1459/102800317/84133/2487/8313/85407/896/27123/4163/7481/83439/7480/5602/11197/817/147111/5567/27121/7472/4041/7855/5578/7091/8324/5176/7482/23236/8321/3725/894/7088/4609/84870/55366/8326/4919/6422/8322/11211/7475/147495/23500/6424/284654/64321/164284/6425"
"hsa05205","hsa05205","Proteoglycans in cancer",190,-0.364923958394601,-1.54647015654589,0.000285222815521401,0.00469938543668594,0.00334547061814576,4147,"tags=35%, list=21%, signal=28%","5962/5829/89780/9475/7291/2316/1839/3693/3678/5595/5290/2260/5781/3316/4478/3690/4060/3236/3091/6654/6608/7481/7480/1514/5336/4233/4660/817/5567/7472/3688/22800/7855/4313/5578/8324/6383/286/5295/7482/8321/10000/4609/3791/3481/22808/117581/858/7078/3339/8326/859/3082/3479/8322/5727/11211/7475/7099/857/287/2247/1634/1956/2719/60495"
"hsa04148","hsa04148","Efferocytosis",151,-0.384083263204511,-1.5853349794798,0.000313749839479386,0.00493442929363034,0.00351279724584576,3882,"tags=36%, list=20%, signal=29%","3693/4773/5595/55754/10062/5781/7386/3988/9023/1844/3690/834/1398/3091/4953/6566/1849/23200/23250/4240/196527/23166/9844/1051/817/714/286410/5627/3586/558/5734/712/713/140885/10461/383/7301/19/10396/4035/6446/10326/51454/5175/64805/6376/338382/5732/1901/5468/121601/114786/63982/948"
"hsa05146","hsa05146","Amoebiasis",91,-0.446033718631111,-1.72853414014795,0.000377377062207596,0.00567706363147079,0.00404147517421407,3879,"tags=37%, list=20%, signal=30%","7414/5332/5272/1511/3909/5290/6318/2774/1281/3912/5567/2919/5578/5295/23236/3586/1284/3915/1282/929/284217/7850/383/22798/3592/3910/3569/3908/10319/3554/7099/338382/2921/2920"
"hsa04371","hsa04371","Apelin signaling pathway",134,-0.398635053009464,-1.62445903107478,0.000407718936555945,0.00587794800201487,0.00418448382254786,3840,"tags=35%, list=20%, signal=28%","182/5332/5595/2782/801/2788/113/91807/9759/441925/55970/100506013/340156/196883/4208/10891/4635/4854/111/81631/6546/5567/8862/22800/6261/2791/23236/4634/1490/109/4846/187/10000/22808/6263/10365/440738/4842/5140/54331/1958/3991/2770/185/5346/114/51806"
"hsa04924","hsa04924","Renin secretion",64,-0.49953145976516,-1.80351348087885,0.000459685752229215,0.00636205081085233,0.00452911435880574,2198,"tags=38%, list=11%, signal=33%","111/5567/3759/22802/2982/23236/5734/5153/2983/1908/1906/358/5136/5140/2770/185/5732/4881/5139/5593/2977/154/51806/117"
"hsa04730","hsa04730","Long-term depression",54,-0.515582852908733,-1.79776043547534,0.000540745075556282,0.0069295480052768,0.00493311296998713,3159,"tags=35%, list=16%, signal=30%","2775/5592/2891/5321/5519/2892/5578/2781/6261/2982/2911/23236/2983/3479/4842/2770/5593/2977/2890"
"hsa04022","hsa04022","cGMP-PKG signaling pathway",150,-0.392404635330028,-1.61269489106034,0.000534534906759712,0.0069295480052768,0.00493311296998713,4447,"tags=43%, list=23%, signal=33%","493/5604/4205/3667/2768/140/775/4775/9475/3779/5533/624/5332/4773/5595/801/10398/113/91807/5592/340156/196883/5997/1259/152/150/4208/111/491/10335/6546/10242/8660/27345/2982/23236/2983/109/4846/146/10000/8654/9586/151/482/3764/477/148/5140/147/2770/185/7225/4881/5139/5593/5350/1910/114/2977/154/5138/51806/8471"
"hsa04110","hsa04110","Cell cycle",153,0.398493002764718,1.56196919764125,0.000606461949187869,0.00749413694353581,0.0053350412071414,3942,"tags=28%, list=20%, signal=23%","595/9088/57082/5347/699/890/9212/9700/995/151648/990/7042/8318/10403/701/993/9319/157570/983/9134/1869/113130/1870/9232/10912/2810/4085/80174/891/9184/991/23594/7272/4998/85417/1017/9133/10926/51434/4173/1111/5111/27127"
"hsa05032","hsa05032","Morphine addiction",80,-0.460341599644476,-1.72875466738747,0.000679942695622671,0.00784200575618148,0.00558268739563878,3669,"tags=41%, list=19%, signal=34%","2782/2788/113/408/55970/2775/157/196883/5137/5142/2561/2568/111/2550/5567/5578/2791/5153/10846/109/2869/2564/5136/5140/54331/27115/2770/2567/5139/114/5138/2555/2565"
