"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","hsa03010","Ribosome",127,0.663072801085037,2.69862987100457,1e-10,2.74035368782186e-08,1.94250809024185e-08,4143,"tags=71%, list=21%, signal=56%","6170/6171/6235/9553/51121/6227/6232/6189/11224/6129/6147/9349/6231/6144/6155/6165/6143/6168/28998/64979/6152/6234/6167/51023/6166/51264/6223/6201/6157/6233/7311/6154/6182/6183/63875/6150/6206/6169/55052/6210/6176/6142/219927/6181/25873/6209/64968/6230/6158/51081/6224/64928/54460/6160/6217/3921/6146/6161/4736/6159/51065/23521/6128/200916/9045/6156/2197/29088/388524/6205/6229/6130/29074/29093/6133/6164/6134/64963/11222/64981/51263/6132/6208/6228/51373/65003/6207/64983/10573/51069"
"hsa04613","hsa04613","Neutrophil extracellular trap formation",139,0.544179812783391,2.22692840686967,1.5840194727294e-10,2.74035368782186e-08,1.94250809024185e-08,4196,"tags=50%, list=21%, signal=40%","440093/8348/2209/8363/8970/8345/8969/8357/8362/2214/8365/3020/2357/8356/8344/2359/64581/2212/8338/3015/51284/653361/3012/92815/85236/5582/3017/3014/1511/8353/55766/1536/8294/4689/8336/3689/1535/728/366/27180/51311/8343/128312/7097/292/7417/8360/6404/820/5880/2215/8334/1378/8330/440689/4688/3683/3684/834/8520/5579/3146/8351/3066/7416/60/2358/5330/10105/9555"
"hsa05322","hsa05322","Systemic lupus erythematosus",79,0.637655279076431,2.41863853257014,6.76155925919681e-10,7.79833167894032e-08,5.52787125401002e-08,2967,"tags=56%, list=15%, signal=47%","440093/8348/2209/8363/8970/8345/8969/8357/8362/2214/8365/3020/8356/8344/2212/941/8338/3015/3012/92815/942/85236/713/3017/3014/3458/1511/714/8353/55766/8294/8336/712/940/8343/128312/8360/6632/2215/8334/3586/6628/8330/440689"
"hsa04110","hsa04110","Cell cycle",153,0.489162972922892,2.03130682690979,8.17220543089129e-08,7.06895769772097e-06,5.01085227736229e-06,3910,"tags=39%, list=20%, signal=31%","699/8317/9232/9212/5347/23594/890/113130/4085/991/993/9133/1029/983/990/8318/891/51529/9134/246184/898/995/10403/9088/7272/1870/9319/4998/5111/9978/1017/701/9700/1111/4171/81620/2810/1869/7043/7534/26271/11200/27127/57082/1028/10926/1019/4175/6500/4173/9184/7533/27085/1875/1871/157570/3066/151648/8900"
"hsa00190","hsa00190","Oxidative phosphorylation",125,0.509171078043879,2.05669669370776,1.40045075191058e-07,8.94366246975351e-06,6.33974248692597e-06,4392,"tags=56%, list=22%, signal=44%","245972/10063/1347/1345/4707/4726/4709/1337/29796/4710/54539/4708/4697/126328/4706/55967/1351/10476/4717/1329/4715/4694/1349/516/440567/1340/4695/7381/9377/51079/521/4712/7388/10975/522/533/54205/4701/526/9550/4711/9551/4702/1350/4713/10632/27068/9167/527/27089/155066/6391/7386/4704/4725/518/4728/4714/517/8992/9296/4722/125965/4724/4716/51606/51382/509/515/4720"
"hsa04024","hsa04024","cAMP signaling pathway",199,-0.460430600304172,-1.92439793855733,1.55092412770292e-07,8.94366246975351e-06,6.33974248692597e-06,3519,"tags=35%, list=18%, signal=29%","6662/2740/7253/338442/115/4659/2033/1387/107/1259/5595/4792/51196/54714/7432/4886/5295/493/6751/491/5733/6093/4301/2893/5602/5465/627/9586/7434/5727/153/1906/134/64399/1080/64411/5139/2770/109/2735/5350/111/482/1812/196883/9475/3355/3725/1395/5348/1813/5140/1908/117/56670/10411/154/114/1816/1128/5021/477/2353/4881/2890/2904/3973/2891/3991"
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes",52,-0.648810484370778,-2.21784131581084,2.0623738663412e-07,1.01940193964865e-05,7.22606181740602e-06,2726,"tags=48%, list=14%, signal=42%","5593/4886/5295/5733/153/5743/3667/134/2770/109/111/196883/8660/57104/11343/5140/154/114/4881/2167/100509620/3991/364/5346/63924"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",194,0.43829544440159,1.88295677273631,5.31417775066405e-07,2.2983818771622e-05,1.62921502092727e-05,3802,"tags=45%, list=19%, signal=37%","4312/3627/4314/6170/3576/9636/2212/6171/6235/51121/51284/6227/6232/6189/11224/713/5582/6129/719/6147/714/629/9349/6231/6144/1536/6155/6165/6143/6168/6152/6234/6167/6166/728/6223/712/6201/6157/6233/7311/6154/51311/3553/6206/7097/6169/6210/6176/6142/6181/25873/6209/6230/6158/6224/6160/6217/3921/6146/6161/4736/6159/4939/51065/23521/6128/200916/9045/6156/2197/388524/6773/6205/6229/6130/6133/6164/6772/6134/834/6132/4600/4599/4938/6208/5579/6228"
"hsa03050","hsa03050","Proteasome",41,0.679916918311069,2.24044800340626,7.27070836399104e-07,2.79518343771211e-05,1.98137432609346e-05,6271,"tags=95%, list=32%, signal=65%","3458/7979/5709/51371/5700/5688/5685/5687/5683/10213/5699/5692/5693/5718/5686/9861/5721/5710/5706/5717/5713/5715/5714/5708/5689/5694/5701/5684/5682/23198/5695/5702/11047/5719/5690/5704/5720/5705/5707"
"hsa05012","hsa05012","Parkinson disease",250,0.396776456175835,1.7567803458856,2.19125900323652e-06,7.58175615119834e-05,5.37435102899061e-05,5061,"tags=48%, list=26%, signal=36%","10381/1616/1347/1345/4707/815/4726/4709/7295/7979/84790/347688/1337/5709/29796/810/4710/54539/201266/4708/4697/126328/4706/55967/1351/10476/5700/4717/6233/7311/1329/4715/581/4694/1349/516/7054/7314/440567/1340/292/7417/4695/5688/7381/9377/51079/4712/7388/5685/10975/522/5687/29986/836/54205/4701/10376/4711/5683/4702/1350/4713/7345/9167/10213/27089/805/6391/7386/7494/4704/5692/4725/5693/5718/5686/9861/518/4728/11315/4714/517/3309/5710/6647/5706/51806/5717/5713/112714/4722/125965/1649/4724/7416/4716/5715/10105/5714/5708/5689/509/515/4720/7419/5694/55630/6571/1346/5701/7846/7332/118424/9246/5684/374291/5682/2861/113457/1327"
