"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbolsTNBC.SYMBOL","symbolsTNBC.GENENAME"
"406984",77.1027539572376,-2.18422651641793,0.71588261234722,-3.05109591816504,0.00228007722897522,0.0078813811973357,"MIR200B","microRNA 200b"
"441869",450.81716568894,-1.92086621577328,0.52820174434987,-3.63661467672272,0.00027624468968943,0.00128160278893776,"ANKRD65","ankyrin repeat domain 65"
"440556",90.0101786459341,-4.96541083233152,0.925607327247354,-5.36448954774166,8.1178460169247e-08,1.00669506013805e-06,"PRDM16-DT","PRDM16 divergent transcript"
"63976",165.294359033977,-4.52232797513247,0.571076804096647,-7.91894880459394,2.39526939687986e-15,1.68321332599378e-13,"PRDM16","PR/SET domain 16"
"55966",55.9262611963778,-2.87848662487935,0.527754463117617,-5.45421559843415,4.91894921784501e-08,6.4943379370417e-07,"AJAP1","adherens junctions associated protein 1"
"57449",2751.35790969628,-1.37835332967046,0.440916111528165,-3.12611241374974,0.00177133827058352,0.00635499316627279,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5"
"9341",1568.64296483129,-1.16500633281073,0.282783515440873,-4.11978163222996,3.79231635006937e-05,0.000226407290984958,"VAMP3","vesicle associated membrane protein 3"
"8863",1061.30472586969,-2.04620049192136,0.519595154343589,-3.93806692540531,8.21406864950908e-05,0.000445907747094513,"PER3","period circadian regulator 3"
"50651",144.211877069959,-2.33927993750921,0.301140640357795,-7.7680645652139,7.96944388896898e-15,4.88277865272268e-13,"SLC45A1","solute carrier family 45 member 1"
"9563",4816.94274391449,-1.70540048591669,0.317261872980976,-5.37537167606318,7.64248659885431e-08,9.53171706470341e-07,"H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"
"100506022",42.6075702130592,-1.79430392632199,0.500035235364369,-3.58835497865366,0.000332771008864631,0.00150885948191489,"LINC02606","long intergenic non-protein coding RNA 2606"
"10747",121.151619773438,-1.10963546035552,0.275263812832026,-4.03117085729193,5.54996785019042e-05,0.00031622397463189,"MASP2","MBL associated serine protease 2"
"10218",46.6070611913496,-3.7593611014057,0.820923397639061,-4.5794298374458,4.66245154682903e-06,3.57217760950097e-05,"ANGPTL7","angiopoietin like 7"
"1185",744.447067562185,-1.14244145244095,0.273108460102387,-4.1831053201818,2.87554093660114e-05,0.000177170125560045,"CLCN6","chloride voltage-gated channel 6"
"943",128.053692935607,-2.34312766255064,0.564060447971536,-4.15403645296697,3.26661100793252e-05,0.00019840512831947,"TNFRSF8","TNF receptor superfamily member 8"
"7133",2279.65070185126,-2.16006025474628,0.394646871622558,-5.47340017131105,4.41481629165786e-08,5.90026504527908e-07,"TNFRSF1B","TNF receptor superfamily member 1B"
"9249",1704.32442486288,-2.14536166771264,0.480770847463166,-4.46233726323642,8.10704935445991e-06,5.79041200887217e-05,"DHRS3","dehydrogenase/reductase 3"
"126755",6.72466516783952,-4.00181121233283,1.19053799206487,-3.3613469196326,0.000775633376194626,0.0031374186040173,"LRRC38","leucine rich repeat containing 38"
"149563",165.841152698064,-4.26595860790852,1.10252305071361,-3.86926931382284,0.000109162010730878,0.000572632225800933,"SRARP","steroid receptor associated and regulated protein"
"27129",986.081925754933,-6.98960806216686,0.815139251710079,-8.57474112245653,9.93099192572738e-18,1.22457250123152e-15,"HSPB7","heat shock protein family B (small) member 7"
"79363",164.652850869836,-1.07642750190974,0.258744462710036,-4.1601953163962,3.17975550448913e-05,0.000193850393100168,"CPLANE2","ciliogenesis and planar polarity effector complex subunit 2"
"84966",242.763702256651,-3.15980408117579,0.884949271460474,-3.57060476015875,0.000356157972385189,0.00159973269337549,"IGSF21","immunoglobin superfamily member 21"
"127707",320.339338788205,-4.10586661371806,1.00976904926772,-4.0661442502081,4.77973572063933e-05,0.000278737354368991,"KLHDC7A","kelch domain containing 7A"
"4681",164.400661065559,-2.29154664998507,0.705148554918723,-3.24973600810854,0.00115512184894508,0.00441038344117181,"NBL1","NBL1, DAN family BMP antagonist"
"5322",67.2354824526139,-3.25462264404204,0.697909687931424,-4.6633865388638,3.11047712787412e-06,2.50447698435729e-05,"PLA2G5","phospholipase A2 group V"
