"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbolER.SYMBOL","symbolER.GENENAME"
"145978",40.9950555142912,14.0763342739838,4.02748494535635,3.49506812935791,0.000473940761346686,0.00387170106956797,"LINC00052","long intergenic non-protein coding RNA 52"
"10481",107.178915407152,11.1190972824083,2.06695697483194,5.37945270162791,7.47126199624045e-08,3.9376764166207e-06,"HOXB13","homeobox B13"
"1469",231.96886675154,11.0660886481014,1.89047966123261,5.85358778252404,4.81080145513475e-09,4.1734766959899e-07,"CST1","cystatin SN"
"23581",1293.49531321593,10.0554921661906,2.45986699034023,4.08781946571828,4.35446803353752e-05,0.000591640334480503,"CASP14","caspase 14"
"3167",14.0718440450269,9.82297903467488,2.15771307533931,4.55249548558728,5.30132988735619e-06,0.000112975949751636,"HMX2","H6 family homeobox 2"
"10143",699.475420288878,9.58243753294834,2.89887000000054,3.30557683957768,0.000947811115879238,0.00655246288361366,"CLEC3A","C-type lectin domain family 3 member A"
"169026",79.047330187857,8.46238040706272,1.39713684224783,6.05694456775456,1.38731368302574e-09,1.53670463668942e-07,"SLC30A8","solute carrier family 30 member 8"
"100506492",99.8118716847368,8.33418590413846,1.41666631293919,5.88295622477768,4.03002542953535e-09,3.69218124165748e-07,"DSCAM-AS1","DSCAM antisense RNA 1"
"9074",47.719136169762,8.33013174035742,1.46319667176023,5.69310462573445,1.24749888441476e-08,9.16047308158641e-07,"CLDN6","claudin 6"
"101928292",188.059400251027,8.25964087085774,1.20483832724941,6.85539352795499,7.11164730112865e-12,1.88420212143146e-09,"LINC01488","long intergenic non-protein coding RNA 1488"
"1300",4674.7881333713,8.07665963576357,0.7639291341873,10.5725246941339,3.99589959783634e-26,7.83436075151793e-22,"COL10A1","collagen type X alpha 1 chain"
"3381",21.668373656877,7.97809446524632,1.57256323141238,5.07330599233258,3.9096305461864e-07,1.46810074329933e-05,"IBSP","integrin binding sialoprotein"
"400799",7.05785276582626,7.95196659232196,1.7409839312623,4.56751291584662,4.93545275188297e-06,0.000106922084699909,"LINC01344","long intergenic non-protein coding RNA 1344"
"4319",390.310828232781,7.54474981352834,0.896105753767633,8.41948596112323,3.78139768109957e-17,4.94253886237587e-14,"MMP10","matrix metallopeptidase 10"
"1472",11.4973558702699,7.34725530039532,1.70566238245737,4.3075671809154,1.65059971086651e-05,0.0002775700211226,"CST4","cystatin S"
"3503",52.8585281193713,7.28939921551613,1.49085982088879,4.8893927607295,1.0114750654227e-06,3.13206631745105e-05,"IGHG4","immunoglobulin heavy constant gamma 4 (G4m marker)"
"219995",38.8149561255386,7.12555320344944,1.53552974607948,4.64045273081973,3.47646693966888e-06,8.28184821617838e-05,"MS4A15","membrane spanning 4-domains A15"
"135886",11.728812075019,7.02753774770222,1.69840330590782,4.13773202351717,3.50755684614615e-05,0.000498285241125301,"TMEM270","transmembrane protein 270"
"50604",36.5233559472412,6.93358112469058,1.58376765800687,4.377902964262,1.19826675167041e-05,0.000214746050578153,"IL20","interleukin 20"
"9119",352.530222654496,6.90747461808849,1.92492357380416,3.58844097089917,0.000332661290030409,0.00293790867222351,"KRT75","keratin 75"
"7490",52.4373785733195,6.81864647124941,1.70197806438027,4.00630690486147,6.16755011929904e-05,0.000775077581386192,"WT1","WT1 transcription factor"
"2813",329.617006833009,6.53013978535808,0.890661035216712,7.33179012795726,2.27098547169936e-13,1.11312352895344e-10,"GP2","glycoprotein 2"
"2626",28.8475701457102,6.46051716284087,1.39416182651305,4.6339793845879,3.58702731873257e-06,8.44264797251749e-05,"GATA4","GATA binding protein 4"
"101928176",59.5390438530682,6.42706773001741,1.24298011462977,5.17069231789903,2.33228306145494e-07,9.70345465917788e-06,"LINC01411","long intergenic non-protein coding RNA 1411"
"91074",52464.765004275,6.37386061648099,0.942611024133865,6.7619202972273,1.36174615711952e-11,3.21667411523919e-09,"ANKRD30A","ankyrin repeat domain 30A"
"724032",8.0051838559459,6.36347354962787,1.77572133289991,3.58359920091503,0.000338891972268223,0.00297951390506313,"MIR662","microRNA 662"
"58",488.292489742726,6.36021487874953,1.18908015158556,5.34885295181205,8.85134200510481e-08,4.50751717797623e-06,"ACTA1","actin alpha 1, skeletal muscle"
"10761",16.2312991143883,6.24250852716368,1.3031891083534,4.79017856053999,1.66632961724574e-06,4.6538544837208e-05,"PLAC1","placenta enriched 1"
"399693",11.3382522336145,6.13810117098382,1.36625920497733,4.49263298547048,7.03479614721659e-06,0.000141315792276976,"CCDC187","coiled-coil domain containing 187"
"29114",8.38912563445414,6.13494314591664,1.35203334866522,4.53756791722136,5.69067061015238e-06,0.00011984001226748,"TAGLN3","transgelin 3"
"165545",130.886995713383,6.01016299816394,1.07289663868698,5.60180988684913,2.12125140768633e-08,1.40504240199656e-06,"DQX1","DEAQ-box RNA dependent ATPase 1"
"79698",72.1990595987437,5.97501824279177,0.998132764814975,5.98619587836029,2.14805659089508e-09,2.20496322099942e-07,"ZMAT4","zinc finger matrin-type 4"
"2155",940.331940065106,5.95861883421963,0.960305548618286,6.20491971830534,5.47248317511512e-10,7.17535350534874e-08,"F7","coagulation factor VII"
"149281",16.2396759089284,5.92300379852364,1.4485911258372,4.08880303964343,4.33604820324152e-05,0.000590657080289732,"NTMT2","N-terminal Xaa-Pro-Lys N-methyltransferase 2"
"10202",868.518291124558,5.81355175118686,1.03860235308659,5.59747600600915,2.17494942034899e-08,1.43575953991119e-06,"DHRS2","dehydrogenase/reductase 2"
"6716",27.9865972415071,5.78814489406152,0.929801914014186,6.22513764149254,4.81133427213287e-10,6.46102874927651e-08,"SRD5A2","steroid 5 alpha-reductase 2"
"374918",17.9379099299093,5.7413614390123,1.28482093260107,4.46860826542507,7.87301617070353e-06,0.000154358355042813,"IGFL1","IGF like family member 1"
"7401",9.01904708574351,5.72175198491081,1.57427805026249,3.63452439926782,0.00027849390190489,0.00257311566481963,"CLRN1","clarin 1"
