"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbolHER.SYMBOL","symbolHER.GENENAME"
"4570",504.441345298079,13.9373245950251,1.10292581175018,12.6366836704171,1.32526674672039e-36,1.44350999089999e-33,"TRNN","tRNA-Asn"
"1469",231.96886675154,13.0328602778726,1.81692602587291,7.17302746082421,7.33571312440848e-13,2.8650197513377e-11,"CST1","cystatin SN"
"23581",1293.49531321593,11.6717111336211,2.35131594479123,4.96390591807831,6.90894209663443e-07,6.88283959462827e-06,"CASP14","caspase 14"
"9119",352.530222654496,11.3068080896538,1.83194807308301,6.1720134188222,6.74257763795051e-10,1.36003062931747e-08,"KRT75","keratin 75"
"10481",107.178915407152,11.1170341555751,1.9810134962123,5.61179122546661,2.00242939220942e-08,2.90167262850392e-07,"HOXB13","homeobox B13"
"1300",4674.7881333713,10.5361254782107,0.72441693727359,14.5442837350882,6.34919267147704e-48,1.77831816452827e-44,"COL10A1","collagen type X alpha 1 chain"
"4312",429.347718059471,9.94399882881403,1.07213429706445,9.27495637070945,1.77691749855246e-20,2.63926094519846e-18,"MMP1","matrix metallopeptidase 1"
"28893",57.4186365238649,9.83718555676835,1.37729051876332,7.14241870016013,9.17027573666299e-13,3.52534168809832e-11,"IGKV1D-39","immunoglobulin kappa variable 1D-39"
"28883",23.9795778268933,9.80984836810437,1.398197211914,7.01606918145374,2.28197096377252e-12,7.98934334209356e-11,"IGKV2D-28","immunoglobulin kappa variable 2D-28"
"3381",21.668373656877,9.21158952582988,1.51948259349895,6.06231987470032,1.34172033464984e-09,2.55148097780259e-08,"IBSP","integrin binding sialoprotein"
"4319",390.310828232781,9.05523214504348,0.845447789413279,10.7105752223063,9.07958871866273e-27,2.96690694030169e-24,"MMP10","matrix metallopeptidase 10"
"196051",283.76328583048,8.64142872627382,0.881902541296478,9.79862096050899,1.141331565898e-22,2.15162948855732e-20,"PLPP4","phospholipid phosphatase 4"
"28881",9.09903554545921,8.58185548809174,1.78408670036923,4.81022334078028,1.50761743580202e-06,1.35962959734749e-05,"IGKV2D-30","immunoglobulin kappa variable 2D-30"
"149281",16.2396759089284,8.4012992679421,1.38285563607115,6.07532633833793,1.23735824169018e-09,2.38073068563078e-08,"NTMT2","N-terminal Xaa-Pro-Lys N-methyltransferase 2"
"28920",33.8293784844433,8.37449673275862,1.60227167990666,5.2266396752681,1.72618430154927e-07,1.98496008306011e-06,"IGKV2-29","immunoglobulin kappa variable 2-29"
"4322",636.007931235265,8.3196812443915,0.919415263484722,9.04888310517998,1.44438102502817e-19,1.87539962759618e-17,"MMP13","matrix metallopeptidase 13"
"100506492",99.8118716847368,8.28533684426942,1.34011127013416,6.1825738122775,6.30648069325529e-10,1.27896529788814e-08,"DSCAM-AS1","DSCAM antisense RNA 1"
"6278",491.37620448181,8.27901366039583,1.96707689948798,4.20879003894092,2.56741817977641e-05,0.000165038691254742,"S100A7","S100 calcium binding protein A7"
"1045",19.8250322441494,8.25594291208687,1.28751804876604,6.41229295387305,1.43347036505246e-10,3.33784085240124e-09,"CDX2","caudal type homeobox 2"
"1301",7047.76098413015,8.08270454687511,0.799556267422087,10.1089877926105,5.04023101050392e-24,1.11032324934764e-21,"COL11A1","collagen type XI alpha 1 chain"
"2637",21.2915883495683,8.06192130478876,1.62445261666298,4.96285408518095,6.94647692004822e-07,6.90631980195058e-06,"GBX2","gastrulation brain homeobox 2"
"28930",112.662044424799,8.00527088306579,0.956201782444741,8.37194725008622,5.66738150396084e-17,4.6686841078427e-15,"IGKV1-39","immunoglobulin kappa variable 1-39"
"94160",87.3499119676845,7.87848222211714,1.05112273633319,7.49530188035034,6.61459465006093e-14,3.14009062249624e-12,"ABCC12","ATP binding cassette subfamily C member 12"
"28933",18.3593409573849,7.79431180923785,1.51766963878218,5.13571044057533,2.8108015414787e-07,3.09424901865421e-06,"IGKV1-33","immunoglobulin kappa variable 1-33"
"8115",88.7816649233374,7.782108952698,1.86325675969267,4.17661651418433,2.95877218866855e-05,0.000186346570931692,"TCL1A","TCL1 family AKT coactivator A"
