"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbolsTNBC.SYMBOL","symbolsTNBC.GENENAME"
"26155",5031.08169883814,1.10004702337625,0.296973312241709,3.70419488226914,0.000212063185334812,0.0010207981369198,"NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"339451",1935.65204012293,1.85491958049249,0.257959174659533,7.19074862501287,6.44370226913176e-13,2.69947065573926e-11,"KLHL17","kelch like family member 17"
"84069",1888.41024325577,2.53506924170656,0.630346400399933,4.02170812762339,5.7777624316692e-05,0.000327584760657335,"PLEKHN1","pleckstrin homology domain containing N1"
"84808",818.915808923433,2.971432341278,0.727390421378052,4.08505838673072,4.40657345963315e-05,0.000259056309593906,"PERM1","PPARGC1 and ESRR induced regulator, muscle 1"
"9636",2816.66064044761,3.9106095588855,0.709850012586298,5.50906457638483,3.60745558665533e-08,4.94897340349933e-07,"ISG15","ISG15 ubiquitin like modifier"
"54991",2997.20341740588,1.46009571758586,0.275178977495263,5.30598569293322,1.12065747732044e-07,1.33484875457744e-06,"C1orf159","chromosome 1 open reading frame 159"
"8784",616.643213125555,1.89281816126392,0.494964623792381,3.82414837400155,0.000131224876259869,0.000670347817600571,"TNFRSF18","TNF receptor superfamily member 18"
"126789",507.586549155065,1.15883530919687,0.214874824417558,5.39307158173612,6.92633436383774e-08,8.77246198562034e-07,"PUSL1","pseudouridine synthase like 1"
"83756",167.809469123284,2.548595493123,0.674593733815805,3.77797089621186,0.000158111350841391,0.000789188173267899,"TAS1R3","taste 1 receptor member 3"
"83858",3128.29937278332,1.05282853352632,0.317054919503927,3.32065036295165,0.000898079677666147,0.00355209807551392,"ATAD3B","ATPase family AAA domain containing 3B"
"55210",1503.16367625466,1.12881148946983,0.242779807193555,4.64952790974867,3.32695662697433e-06,2.6623800664677e-05,"ATAD3A","ATPase family AAA domain containing 3A"
"339456",106.433721009032,1.92253778290357,0.595211396336437,3.23000835457269,0.00123786600790152,0.00467262243952968,"TMEM52","transmembrane protein 52"
"85452",51.2512606231296,4.17685595094165,0.630808714644448,6.62143032265481,3.55739699020896e-11,9.93537398718474e-10,"CFAP74","cilia and flagella associated protein 74"
"2563",143.857178749937,1.61737041117185,0.462145539906194,3.49969927547097,0.000465783308569441,0.00202128099774512,"GABRD","gamma-aminobutyric acid type A receptor subunit delta"
"148645",14.3243297764098,4.42088597325064,0.913987586113773,4.8369212453399,1.31865643531504e-06,1.16825928923573e-05,"ICMT-DT","ICMT divergent transcript"
"11332",924.202952974947,1.39120859149377,0.269080249219543,5.17023674360684,2.33797616941641e-07,2.55366912409907e-06,"ACOT7","acyl-CoA thioesterase 7"
"3604",54.7864452630041,2.99962845228482,0.544824830371467,5.50567500794639,3.67756415575797e-08,5.0140697383721e-07,"TNFRSF9","TNF receptor superfamily member 9"
"644997",11.2761545482093,3.42503860392674,0.834752386018609,4.103059375802,4.07722559086402e-05,0.000241504788321692,"PIK3CD-AS1","PIK3CD antisense RNA 1"
"378708",40.6707840182639,1.64978912265034,0.377351264779098,4.37202489202238,1.23099486356084e-05,8.3656448162821e-05,"CENPS","centromere protein S"
"26270",474.688926992457,1.05556589418444,0.279226139672262,3.7803262095139,0.000156623014629583,0.000782157622217935,"FBXO6","F-box protein 6"
"60672",2144.50826282991,1.08463746709351,0.307315997952206,3.52938823335254,0.000416521599903056,0.00183585484495927,"MIIP","migration and invasion inhibitory protein"
"55092",528.618380236174,1.34892081379073,0.390786303493868,3.45181190264488,0.000556835761870056,0.00235033841705583,"TMEM51","transmembrane protein 51"
"79814",64.5672274996008,2.23977712032048,0.421456886715353,5.31436830413736,1.07027953052603e-07,1.28106840509728e-06,"AGMAT","agmatinase (putative)"
"440567",56.5399069969562,1.23907308141086,0.317691634300986,3.90023830541581,9.60980506710499e-05,0.000512122419531559,"UQCRHL","ubiquinol-cytochrome c reductase hinge protein like"
