"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbolHER.SYMBOL","symbolHER.GENENAME"
"56154",79.5362462937525,-16.8278251002067,2.1499330579037,-7.82713910014238,4.99096793517533e-15,2.8363164445521e-13,"TEX15","testis expressed 15, meiosis and synapsis associated"
"3952",2055.88522785527,-10.8989824715627,1.07919066518724,-10.0992186303537,5.56840867076776e-24,1.21304689332303e-21,"LEP","leptin"
"10345",132.214736991504,-10.3018464060521,1.60310450470359,-6.42618517746412,1.30845995554523e-10,3.0745150576331e-09,"TRDN","triadin"
"10249",98.9405160584713,-10.0868050060185,1.51108877332079,-6.67519022317373,2.46911688330564e-11,6.86659654100573e-10,"GLYAT","glycine-N-acyltransferase"
"5375",76.910730443251,-9.4227652376717,1.48145338225851,-6.36048717463282,2.01114849117273e-10,4.52185519701062e-09,"PMP2","peripheral myelin protein 2"
"4558",48.5864780464189,-9.07704347756168,1.16480422941717,-7.79276315136969,6.55594433238943e-15,3.68297548942198e-13,"TRNF","tRNA-Phe"
"286753",477.686384127231,-8.83230646510545,1.42783934755523,-6.18578447234158,6.17943887810192e-10,1.2580901209145e-08,"TRARG1","trafficking regulator of GLUT4 (SLC2A4) 1"
"28513",69.0461821657423,-8.75518606764526,1.56510408786578,-5.59399603868142,2.21902019144636e-08,3.17794812808599e-07,"CDH19","cadherin 19"
"63924",1338.26700765529,-8.67002441689521,1.1243275034234,-7.71129798968393,1.24544476770038e-14,6.65345779714815e-13,"CIDEC","cell death inducing DFFA like effector c"
"729359",45929.4509562082,-8.42185199115513,0.840879651409693,-10.0155259757283,1.30267133322232e-23,2.68843938517439e-21,"PLIN4","perilipin 4"
"195977",325.392583712733,-8.06503829726283,1.51621971600326,-5.31917519086361,1.04238726950908e-07,1.26232518875819e-06,"ANTXRL","ANTXR like"
"101926960",129.324242033759,-7.86937948290584,1.22281343422264,-6.43547025463335,1.23091634563616e-10,2.92880411074545e-09,"LINC02996","long intergenic non-protein coding RNA 2996"
"114786",29.056710891352,-7.80293499543471,1.46311657717228,-5.33309178309988,9.65544760649421e-08,1.17873415798833e-06,"XKR4","XK related 4"
"9370",2656.81324675541,-7.79447593217295,1.53988416230904,-5.06172874749568,4.15471858660377e-07,4.36768968412619e-06,"ADIPOQ","adiponectin, C1Q and collagen domain containing"
"100133319",70.7473253412509,-7.68666636794403,1.10968893047574,-6.92686586019077,4.30266199974352e-12,1.39434696143754e-10,"PRO1804","uncharacterized LOC100133319"
"56301",337.96712348732,-7.59864866988296,0.897550977312794,-8.46598005233395,2.54007641875144e-17,2.28443753513948e-15,"SLC7A10","solute carrier family 7 member 10"
"253935",10.751935729217,-7.57101245785961,1.49341724198203,-5.06958955945329,3.98674506368694e-07,4.21597215310929e-06,"ANGPTL5","angiopoietin like 5"
"5105",261.726114931514,-7.48974467335729,1.15267687665143,-6.49769664428011,8.15590504686968e-11,2.02155087672474e-09,"PCK1","phosphoenolpyruvate carboxykinase 1"
"284825",84.2200611113412,-7.47103025348339,1.18501197755027,-6.30460315593429,2.88933236328432e-10,6.3373760167694e-09,"LINC01697","long intergenic non-protein coding RNA 1697"
"2038",17.9567143154561,-7.36993115228032,1.29921233099695,-5.6726148424292,1.4063418010553e-08,2.13246228549809e-07,"EPB42","erythrocyte membrane protein band 4.2"
"116085",15.8366484516239,-7.36458143826987,1.50958934846412,-4.87853299028819,1.06877789432411e-06,1.00597500701481e-05,"SLC22A12","solute carrier family 22 member 12"
"5346",10438.694483139,-7.34728727935753,0.784128015812885,-9.37000991061489,7.25257175673896e-21,1.11963718002066e-18,"PLIN1","perilipin 1"
"155006",243.027841692435,-7.33872376217339,1.18431549716115,-6.1965952313928,5.76976258662445e-10,1.18328415557907e-08,"TMEM213","transmembrane protein 213"
"445815",39.7097045556985,-7.3349426641262,1.10540504055551,-6.63552489360831,3.23349789642132e-11,8.79278221320894e-10,"PALM2AKAP2","PALM2 and AKAP2 fusion"
"80309",42.2413936754227,-7.3329486748691,1.25209997942414,-5.85652008255893,4.72666455452355e-09,7.97512781893191e-08,"SPHKAP","SPHK1 interactor, AKAP domain containing"
"2662",305.991926060198,-7.28628389377063,1.04825675931709,-6.95085801165493,3.63071158260852e-12,1.20650392014615e-10,"GDF10","growth differentiation factor 10"
"146894",1530.64341934186,-7.20468553819293,1.45828978402965,-4.94050333280428,7.79211608527351e-07,7.63861139839362e-06,"CD300LG","CD300 molecule like family member g"
"2565",7.39846845952033,-7.08929258825019,1.37263913090576,-5.16471695191451,2.40803032292385e-07,2.68860150975199e-06,"GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1"
"762",320.706082963046,-7.0200121198601,1.13439361414204,-6.18833889079096,6.08015053514246e-10,1.24045193956299e-08,"CA4","carbonic anhydrase 4"
"364",770.143356901645,-6.97207046773041,1.08771973513294,-6.40980414580628,1.45706695200014e-10,3.37874096720394e-09,"AQP7","aquaporin 7"
"3991",8493.56594948301,-6.97184773308396,0.656939740931165,-10.6126137584581,2.60361936113526e-26,7.61888973051012e-24,"LIPE","lipase E, hormone sensitive type"
"2819",1893.11277155424,-6.95080643204197,0.761417867461236,-9.1287671711957,6.92837502598671e-20,9.36811867306865e-18,"GPD1","glycerol-3-phosphate dehydrogenase 1"
"152831",394.29440555886,-6.94246356418989,0.811939733497508,-8.55046658978563,1.22591915945721e-17,1.14454147811039e-15,"KLB","klotho beta"
"26577",664.333411729695,-6.93215858857503,0.856418552055349,-8.0943582690243,5.75670258714024e-16,3.80019902099231e-14,"PCOLCE2","procollagen C-endopeptidase enhancer 2"
"347730",8.78950138646431,-6.89865351764615,1.87018098677158,-3.68876251359769,0.000225347438649063,0.00108741370468952,"LRRTM1","leucine rich repeat transmembrane neuronal 1"
"4653",102.561615817765,-6.82826183484294,1.01502715492693,-6.72717158521189,1.72992704508594e-11,4.99513249572237e-10,"MYOC","myocilin"
"286133",2151.20019198273,-6.68095817934787,1.37214597599448,-4.8689850032215,1.1217291934892e-06,1.05077030900856e-05,"SCARA5","scavenger receptor class A member 5"
"2891",21.0631483368332,-6.66676832058357,1.31169611944663,-5.08255549570133,3.72390459824239e-07,3.97446235999675e-06,"GRIA2","glutamate ionotropic receptor AMPA type subunit 2"
"1149",214.707214128634,-6.65542235477656,1.03512861770796,-6.42956077237372,1.27973188230088e-10,3.01567587552776e-09,"CIDEA","cell death inducing DFFA like effector a"
"100528017",12.1835187810513,-6.65298815646595,1.52838242371896,-4.35296039343182,1.343114224034e-05,9.3612148867439e-05,"SAA2-SAA4","SAA2-SAA4 readthrough"
"64102",81.1404440719909,-6.63856340299278,1.05598618400221,-6.28660062372455,3.24492723317871e-10,7.0143377435173e-09,"TNMD","tenomodulin"
"9729",6.83714031446646,-6.63538688136589,1.47964082449609,-4.48445783024785,7.30995602114817e-06,5.47019075384088e-05,"KIAA0408","KIAA0408"
"401190",35.3548594971159,-6.61346995327189,1.0109692396706,-6.54171234272839,6.08184011411333e-11,1.54456680411018e-09,"RGS7BP","regulator of G protein signaling 7 binding protein"
"283392",98.1260802780083,-6.59437491684171,0.897193454207118,-7.35000337543634,1.98201849717934e-13,8.61628706334769e-12,"TRHDE-AS1","TRHDE antisense RNA 1"
"3745",500.653869188053,-6.59396524801529,0.947039495041637,-6.9627141027792,3.33778764441626e-12,1.12248138175687e-10,"KCNB1","potassium voltage-gated channel subfamily B member 1"
"9951",59.4539814415618,-6.58787193063786,1.31898856461066,-4.99463915563397,5.89458762904736e-07,5.95717964201559e-06,"HS3ST4","heparan sulfate-glucosamine 3-sulfotransferase 4"
"85329",289.269759655154,-6.52906256707616,0.941820199255446,-6.93238748992398,4.13796628399661e-12,1.34765725853883e-10,"LGALS12","galectin 12"
"3973",21.5519138035588,-6.50168909850337,1.18046234820423,-5.50774796705205,3.63453249917033e-08,4.9245780358489e-07,"LHCGR","luteinizing hormone/choriogonadotropin receptor"
"158434",11.7670750260582,-6.49201459233175,1.46866455007623,-4.42035221180684,9.85401587949623e-06,7.13433660758504e-05,"LOC158434","uncharacterized LOC158434"
"13",47.9253171108632,-6.48410638873592,0.972407159728947,-6.668098156068,2.59139457370741e-11,7.18626336804916e-10,"AADAC","arylacetamide deacetylase"
"27328",10.913807742033,-6.45522679598698,1.56165769082659,-4.13357346741603,3.5716605294057e-05,0.000219242255289693,"PCDH11X","protocadherin 11 X-linked"
"104502417",11.0681595966287,-6.44520795940358,1.15088966221195,-5.60019624037308,2.14109282501142e-08,3.07307949686486e-07,"MGAT3-AS1","MGAT3 antisense RNA 1"
"6425",66.8672189329198,-6.39654553018034,1.12342634610584,-5.69378273204364,1.24255184981772e-08,1.90027079309878e-07,"SFRP5","secreted frizzled related protein 5"
"7079",507.160736332647,-6.33628359482706,0.852805100656091,-7.42993163379575,1.08653822906688e-13,4.89716517680123e-12,"TIMP4","TIMP metallopeptidase inhibitor 4"
"148",183.058016940915,-6.27593071058309,0.784759378817535,-7.99726754465754,1.27210627578662e-15,7.99388321893351e-14,"ADRA1A","adrenoceptor alpha 1A"
"1038",393.6424580846,-6.25752702717262,0.618979539371011,-10.1094246726335,5.01780705815952e-24,1.11032324934764e-21,"CDR1","cerebellar degeneration related 1"
"948",8994.99900159769,-6.22314807815228,1.06905100901339,-5.82118909732432,5.84304149841497e-09,9.65924718532242e-08,"CD36","CD36 molecule (CD36 blood group)"
"1357",14.4369036722502,-6.1991693440015,1.14528865664855,-5.41275713158821,6.20616412690459e-08,7.92174829896428e-07,"CPA1","carboxypeptidase A1"
"254312",5.30506626707176,-6.19538424477192,1.58672025870979,-3.90452205470017,9.44117825112447e-05,0.000513179209291783,"LINC00710","long intergenic non-protein coding RNA 710"
"100129662",11.5482083664748,-6.18039746746281,1.3476748509776,-4.58597076511411,4.51881834574982e-06,3.59053587096892e-05,"FGF13-AS1","FGF13 antisense RNA 1"
"80704",496.532486325924,-6.17753673002462,0.841288004555522,-7.34295116128323,2.08934784521664e-13,9.04850932180622e-12,"SLC19A3","solute carrier family 19 member 3"
"4577",119.031273986212,-6.14271858248852,0.718360541650076,-8.55102448747906,1.22000735060022e-17,1.14447196726641e-15,"TRNV","tRNA-Val"
"400830",31.1001844647872,-6.13281270049166,1.50509282182302,-4.07470729483872,4.60722584239434e-05,0.000274473624630761,"DEFB132","defensin beta 132"
"56246",60.2311490406701,-6.13080968742854,0.713938563460024,-8.58730708944513,8.90314356412762e-18,8.59877008464464e-16,"MRAP","melanocortin 2 receptor accessory protein"
"51378",105.554683246925,-6.091934936211,0.765711531687132,-7.95591379274166,1.77814183228702e-15,1.10221765355038e-13,"ANGPT4","angiopoietin 4"
"2904",51.8740369648422,-6.08270317906244,0.851019349716778,-7.1475497955326,8.83404791531539e-13,3.40945557928491e-11,"GRIN2B","glutamate ionotropic receptor NMDA type subunit 2B"
"1674",1143.83461873328,-6.07142498115601,0.696254608136537,-8.72012179194854,2.77902701929424e-18,2.91366864921299e-16,"DES","desmin"
"220296",76.1836755763589,-6.05052185599325,0.751472519459797,-8.05155438064817,8.17490781525025e-16,5.23781838646393e-14,"HEPACAM","hepatic and glial cell adhesion molecule"
"100509620",46.3703622033814,-5.97606576814488,1.05640198117434,-5.65699977342112,1.54041966721367e-08,2.31351154261551e-07,"AQP7B","aquaporin 7B"
"29953",32.7446273767972,-5.96597862941445,0.946951925646984,-6.30019166531429,2.97277814126432e-10,6.49045526031496e-09,"TRHDE","thyrotropin releasing hormone degrading enzyme"
"91851",2380.50801790709,-5.95158639767229,1.00722804169689,-5.90887678985343,3.44448199069481e-09,5.98692499198249e-08,"CHRDL1","chordin like 1"
"345557",88.7301647966195,-5.94162378116676,0.66431216030679,-8.94402381317665,3.75251645054346e-19,4.43203840538283e-17,"PLCXD3","phosphatidylinositol specific phospholipase C X domain containing 3"
"102465689",5.48459912461254,-5.9312082011194,1.59712848731202,-3.71367003233515,0.000204275106219171,0.00100050405509195,"MIR7152","microRNA 7152"
"100874095",14.0644841444948,-5.93063866345498,1.39711763903275,-4.24491001885916,2.18681156638471e-05,0.000143441376950614,"ADIPOQ-AS1","ADIPOQ antisense RNA 1"
"83888",74.3859999783278,-5.92777905172014,1.08884481257415,-5.44409908856179,5.20682313547476e-08,6.79208079801186e-07,"FGFBP2","fibroblast growth factor binding protein 2"
"253559",105.417403787985,-5.92373109640164,0.768377433240588,-7.70940274939965,1.26407904808932e-14,6.7164048284117e-13,"CADM2","cell adhesion molecule 2"
"105377637",5.90120165604519,-5.92207558545721,1.25562023916369,-4.71645438703793,2.39990139032771e-06,2.05021641214663e-05,NA,NA
"101929415",8.20584485994404,-5.92197893881192,1.23811948619361,-4.78304315928186,1.72661034301697e-06,1.53593114270376e-05,"PENK-AS1","PENK antisense RNA 1"
"84432",14.1335447787867,-5.91195100276744,1.23714242109566,-4.77871496600333,1.76419080014596e-06,1.56651833458612e-05,"PROK1","prokineticin 1"
"84913",1103.5646136347,-5.90862305054249,0.619884474426577,-9.53181325602364,1.54559624647613e-21,2.58999658191546e-19,"ATOH8","atonal bHLH transcription factor 8"
"124",7.20081750092,-5.90458928721848,1.26103549358763,-4.68233393686644,2.83626936932196e-06,2.37539074134671e-05,"ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide"
"2676",196.263433066523,-5.90311939759225,1.05052014521058,-5.61923483762317,1.91805003285207e-08,2.79593226350169e-07,"GFRA3","GDNF family receptor alpha 3"
"105378577",58.8933675447711,-5.88918387254035,1.10388744488611,-5.33494959094127,9.55711042437249e-08,1.16831884685684e-06,"LOC105378577","uncharacterized LOC105378577"
"102606463",225.344105130477,-5.88697044407693,0.787110742523291,-7.47921496434503,7.47678881537118e-14,3.51534583966828e-12,"LINC01152","long intergenic non-protein coding RNA 1152"
"115827",78.7513816715547,-5.88112946217775,0.94660761592827,-6.21284824167672,5.20326971428001e-10,1.07046491099868e-08,"RAB3C","RAB3C, member RAS oncogene family"
"64344",430.668819959773,-5.8299785977849,0.796304149117002,-7.32129627134253,2.45586953139372e-13,1.03771073345917e-11,"HIF3A","hypoxia inducible factor 3 subunit alpha"
